date,open,high,low,close,change_pct
2004-09-28,2082.4001,2120.8,2045.1,2092.9001,-1.0262
2004-09-29,2043.5,2065.8,2000.5,2017.0,-3.6266
2004-09-30,1968.4,1991.1,1918.5,1938.0,-3.9167
2004-10-08,1905.8,1975.8,1868.3,1965.8,
2004-10-11,2032.8,2089.1001,1992.3,2028.5,3.1895
2004-10-12,2015.3,2042.1,1963.0,1986.0,-2.0951
2004-10-13,1956.7001,1996.9,1921.3,1963.1,-1.1531
2004-10-14,1963.5,1978.0,1848.1,1862.1,-5.1449
2004-10-15,1824.4,1869.1,1781.8,1831.9,-1.6218
2004-10-18,1789.6,1825.1,1753.2001,1796.9,-1.9106
2004-10-19,1776.1,1820.8,1748.1,1768.8,-1.5638
2004-10-20,1729.4,1754.3,1681.4,1729.0,-2.2501
2004-10-21,1737.8,1771.1,1689.3,1713.9,-0.8733
2004-10-22,1728.7001,1774.1,1678.9,1746.8,1.9196
2004-10-25,1779.8,1812.6,1721.9,1744.9,-0.1088
2004-10-26,1743.7001,1786.9,1699.0,1769.0,1.3812
2004-10-27,1797.9,1843.5,1758.9,1821.6,2.9734
2004-10-28,1843.6,1880.4,1803.6,1831.4,0.538
2004-10-29,1793.3,1855.7001,1753.1,1809.1,-1.2176
2004-11-01,1756.8,1787.9,1720.6,1742.5,-3.6814
2004-11-02,1691.8,1720.4,1660.4,1693.3,-2.8235
2004-11-03,1674.3,1716.7001,1654.5,1704.5,0.6614
2004-11-04,1689.0,1709.0,1633.5,1645.9,-3.438
2004-11-05,1607.3,1632.6,1578.9,1601.5,-2.6976
2004-11-08,1533.5,1555.3,1509.7001,1540.3,-3.8214
2004-11-09,1480.1,1501.5,1462.7001,1484.9,-3.5967
2004-11-10,1553.4,1629.0,1536.3,1614.8,8.7481
2004-11-11,1715.1,1759.3,1685.5,1700.6,5.3134
2004-11-12,1692.7001,1727.2001,1670.9,1698.4,-0.1294
2004-11-15,1687.3,1719.5,1670.0,1705.2001,0.4004
2004-11-16,1690.9,1710.4,1661.9,1684.7001,-1.2022
2004-11-17,1655.0,1671.5,1623.6,1642.7001,-2.493
2004-11-18,1612.6,1645.0,1601.1,1635.7001,-0.4261
2004-11-19,1626.6,1648.9,1603.7001,1631.3,-0.269
2004-11-22,1643.8,1672.4,1624.6,1652.1,1.2751
2004-11-23,1660.1,1681.0,1629.2001,1651.1,-0.0605
2004-11-24,1653.9,1676.8,1617.4,1630.9,-1.2234
2004-11-25,1607.2001,1631.0,1579.7001,1603.0,-1.7107
2004-11-26,1563.1,1588.7001,1545.9,1564.2001,-2.4205
2004-11-29,1523.7001,1541.3,1490.8,1505.2001,-3.7719
2004-11-30,1460.4,1487.1,1445.5,1470.3,-2.3186
2004-12-01,1436.7001,1457.4,1415.2001,1433.1,-2.5301
2004-12-02,1426.2001,1451.8,1404.4,1434.2001,0.0768
2004-12-03,1435.7001,1465.9,1418.8,1442.6,0.5857
2004-12-06,1417.3,1438.0,1395.4,1418.8,-1.6498
2004-12-07,1393.5,1407.1,1358.9,1368.9,-3.5171
2004-12-08,1341.2001,1361.0,1321.6,1337.0,-2.3303
2004-12-09,1347.0,1380.6,1325.1,1355.4,1.3762
2004-12-10,1336.5,1350.3,1299.1,1309.4,-3.3938
2004-12-13,1269.3,1287.3,1246.2001,1268.8,-3.1007
2004-12-14,1230.1,1247.0,1213.6,1226.7001,-3.3181
2004-12-15,1220.5,1238.8,1190.4,1216.9,-0.7989
2004-12-16,1189.1,1204.0,1169.4,1181.0,-2.9501
2004-12-17,1143.2001,1157.4,1124.5,1135.2001,-3.8781
2004-12-20,1103.1,1118.1,1081.7001,1097.6,-3.3122
2004-12-21,1063.5,1082.5,1052.7001,1065.9,-2.8881
2004-12-22,1083.7001,1123.0,1074.4,1116.9,4.7847
2004-12-23,1101.5,1107.6,1069.0,1075.6,-3.6977
2004-12-24,1046.8,1066.7001,1037.7001,1052.0,-2.1941
2004-12-27,1024.3,1037.5,1010.5,1022.2,-2.8327
2004-12-28,1003.9,1017.5,987.8,1002.9,-1.8881
2004-12-29,990.1,1003.1,973.4,983.1,-1.9743
2004-12-30,974.4,987.4,957.9,973.1,-1.0172
2004-12-31,966.7,978.7,946.3,955.8,-1.7778
2005-01-04,934.8,946.2,911.8,927.9,-2.919
2005-01-05,922.0,950.2,913.7,939.1,1.207
2005-01-06,927.6,935.4,907.7,918.9,-2.151
